date,close,vol,pct
2019-01-15,865.1,33590000.0,0.0066
2019-01-16,864.29,33030000.0,-0.0009
2019-01-17,853.34,31740000.0,-0.0127
2019-01-18,854.79,28300000.0,0.0017000000000000001
2019-01-21,864.1,46180000.0,0.0109
2019-01-22,859.17,36100000.0,-0.005699999999999999
2019-01-23,861.73,35620000.0,0.003
2019-01-24,865.52,35100000.0,0.0044
2019-01-25,867.7,34850000.0,0.0025
2019-01-28,868.76,24720000.0,0.0012
2019-01-29,872.03,30050000.0,0.0038
2019-01-30,869.16,33259999.999999996,-0.0033
2019-01-31,866.06,46950000.0,-0.0036
2019-02-01,859.81,41900000.0,-0.0072
2019-02-11,878.67,39940000.0,0.0219
2019-02-12,888.33,62160000.0,0.011000000000000001
2019-02-13,897.42,65640000.0,0.0102
2019-02-14,900.12,50280000.0,0.003
2019-02-15,897.74,50970000.0,-0.0026
2019-02-18,904.93,51220000.0,0.008
2019-02-19,907.82,78090000.0,0.0032
2019-02-20,911.8,53100000.0,0.0044
2019-02-21,926.09,63250000.0,0.015700000000000002
2019-02-22,929.5,74940000.0,0.0037
2019-02-25,939.47,68470000.0,0.010700000000000001
2019-02-26,929.51,58440000.0,-0.0106
2019-02-27,930.54,54960000.0,0.0011
2019-02-28,904.98,71560000.0,-0.0275
2019-03-01,915.32,39640000.0,0.011399999999999999
2019-03-04,928.42,51480000.0,0.0143
2019-03-05,923.66,56230000.0,-0.0051
2019-03-06,923.58,36430000.0,-0.0001
2019-03-07,922.29,51390000.0,-0.0014000000000000002
2019-03-08,914.74,41840000.0,-0.008199999999999999
2019-03-11,916.24,32009999.999999996,0.0016
2019-03-12,929.86,59910000.0,0.0149
2019-03-13,935.41,72240000.0,0.006
2019-03-14,934.42,51530000.0,-0.0011
2019-03-15,927.06,72930000.0,-0.0079
2019-03-18,932.75,61800000.0,0.0060999999999999995
2019-03-19,927.56,56480000.0,-0.005600000000000001
2019-03-20,924.12,59410000.0,-0.0037
2019-03-21,907.87,53920000.0,-0.0176
2019-03-22,912.27,46660000.0,0.0048
2019-03-25,893.4,53510000.0,-0.0207
2019-03-26,894.58,38010000.0,0.0013
2019-03-27,901.76,32700000.000000004,0.008
2019-03-28,901.65,31100000.0,-0.0001
2019-03-29,900.13,45010000.0,-0.0017000000000000001
2019-04-01,905.87,40150000.0,0.0064
2019-04-02,903.59,35220000.0,-0.0025
2019-04-03,901.5,34510000.0,-0.0023
2019-04-04,904.33,32080000.0,0.0031
2019-04-05,904.69,30170000.0,0.0004
2019-04-08,906.55,33280000.0,0.0021
2019-04-09,900.07,42510000.0,-0.0070999999999999995
2019-04-10,893.19,34640000.0,-0.0076
2019-04-11,896.04,24750000.0,0.0032
2019-04-12,893.1,27810000.0,-0.0033
2019-04-16,887.76,36540000.0,-0.006
2019-04-17,885.66,34640000.0,-0.0024
2019-04-18,877.02,39360000.0,-0.0098
2019-04-19,880.52,26150000.0,0.004
2019-04-22,878.23,34290000.0,-0.0026
2019-04-23,878.29,37900000.0,0.0001
2019-04-24,888.65,35010000.0,0.0118
2019-04-25,885.65,29180000.0,-0.0034000000000000002
2019-04-26,890.55,34570000.0,0.0055000000000000005
2019-05-02,893.87,36440000.0,0.0037
