"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2022","8,695.7","8,521.7","8,695.7","8,434.8","11.64M","5.49%"
"11/16/2022","8,243.5","7,217.4","8,243.5","7,165.2","22.51M","7.00%"
"11/15/2022","7,704.3","8,113.0","8,556.5","7,704.3","16.72M","-6.93%"
"11/14/2022","8,278.3","8,695.7","8,739.1","8,156.5","14.06M","-4.80%"
"11/11/2022","8,695.7","9,130.4","9,260.9","8,695.7","8.31M","-2.44%"
"11/10/2022","8,913.0","9,478.3","9,565.2","8,913.0","16.54M","-6.82%"
"11/09/2022","9,565.2","9,869.6","9,869.6","9,565.2","9.13M","-1.34%"
"11/08/2022","9,695.6","9,304.3","9,782.6","9,260.9","11.71M","4.21%"
"11/07/2022","9,304.3","9,913.0","9,913.0","9,304.3","11.06M","-4.89%"
"11/04/2022","9,782.6","9,652.2","10,000.0","9,304.3","18.73M","1.35%"
"11/03/2022","9,652.2","9,565.2","9,913.0","9,565.2","12.11M","-1.77%"
"11/02/2022","9,826.1","10,087.0","10,173.9","9,782.6","10.59M","-2.59%"
"11/01/2022","10,087.0","10,087.0","10,391.3","10,043.5","14.75M","1.31%"
"10/31/2022","9,956.5","9,739.1","10,043.5","9,565.2","13.83M","4.09%"
"10/28/2022","9,565.2","9,913.0","10,000.0","9,478.3","12.44M","-1.34%"
"10/27/2022","9,695.6","9,087.0","9,695.6","9,087.0","14.56M","6.70%"
"10/26/2022","9,087.0","9,304.3","9,434.8","8,956.5","6.72M","-0.95%"
"10/25/2022","9,173.9","8,695.7","9,173.9","8,382.6","16.33M","6.57%"
"10/24/2022","8,608.7","9,043.5","9,304.3","8,573.9","13.55M","-3.41%"
"10/21/2022","8,913.0","9,478.3","9,652.2","8,826.1","14.16M","-5.53%"
"10/20/2022","9,434.8","9,608.7","9,782.6","9,434.8","8.40M","-2.69%"
"10/19/2022","9,695.6","9,956.5","9,956.5","9,608.7","7.83M","-0.89%"
"10/18/2022","9,782.6","10,260.9","10,347.8","9,739.1","10.73M","-2.17%"
"10/17/2022","10,000.0","9,565.2","10,087.0","9,434.8","16.64M","4.55%"
"10/14/2022","9,565.2","9,260.9","9,565.2","9,217.4","16.73M","6.80%"
"10/13/2022","8,956.5","8,869.6","9,087.0","8,782.6","11.85M","2.49%"
"10/12/2022","8,739.1","7,956.5","8,739.1","7,956.5","22.47M","6.91%"
"10/11/2022","8,173.9","8,608.7","8,739.1","8,173.9","16.47M","-6.93%"
"10/10/2022","8,782.6","8,739.1","9,043.5","8,452.2","14.89M","-2.42%"
"10/07/2022","9,000.0","9,173.9","9,391.3","8,956.5","17.59M","-5.91%"
"10/06/2022","9,565.2","10,217.4","10,260.9","9,521.7","7.64M","-5.98%"
"10/05/2022","10,173.9","10,173.9","10,347.8","10,130.4","7.76M","1.74%"
"10/04/2022","10,000.0","10,608.7","10,608.7","10,000.0","7.47M","-3.36%"
"10/03/2022","10,347.8","10,826.1","10,913.0","10,347.8","10.26M","-4.42%"
"09/30/2022","10,826.1","10,826.1","10,913.0","10,565.2","8.01M","0.40%"
"09/29/2022","10,782.6","11,043.5","11,130.4","10,782.6","6.26M","-0.80%"
"09/28/2022","10,869.6","10,956.5","11,130.4","10,782.6","6.03M","-1.96%"
"09/27/2022","11,087.0","10,826.1","11,173.9","10,739.1","9.17M","2.82%"
"09/26/2022","10,782.6","11,217.4","11,217.4","10,652.2","13.98M","-5.34%"
"09/23/2022","11,391.3","11,608.7","11,695.6","11,391.3","6.90M","-1.87%"
"09/22/2022","11,608.7","11,391.3","11,695.6","11,391.3","7.56M","0.38%"
"09/21/2022","11,565.2","11,565.2","11,652.2","11,478.3","4.83M","-0.75%"
"09/20/2022","11,652.2","11,521.7","11,695.6","11,304.3","8.70M","3.08%"
"09/19/2022","11,304.3","11,913.0","12,000.0","11,304.3","13.45M","-5.11%"
"09/16/2022","11,913.0","12,260.9","12,347.8","11,826.1","9.44M","-2.84%"
"09/15/2022","12,260.9","12,391.3","12,434.8","12,260.9","5.81M","-0.35%"
"09/14/2022","12,304.3","12,173.9","12,391.3","12,173.9","9.66M","-1.74%"
"09/13/2022","12,521.7","12,391.3","12,521.7","12,347.8","7.06M","1.05%"
"09/12/2022","12,391.3","12,521.7","12,652.2","12,391.3","6.31M","-0.35%"
"09/09/2022","12,434.8","12,391.3","12,434.8","12,087.0","9.23M","2.14%"
"09/08/2022","12,173.9","12,869.6","12,956.5","12,173.9","17.40M","-4.44%"
"09/07/2022","12,739.1","13,521.7","13,521.7","12,739.1","20.23M","-5.48%"
"09/06/2022","13,478.3","13,478.3","13,652.2","13,391.3","10.49M","0.32%"
"09/05/2022","13,434.8","13,565.2","13,565.2","13,434.8","6.09M","-0.96%"
"08/31/2022","13,565.2","13,347.8","13,565.2","13,347.8","11.17M","1.30%"
"08/30/2022","13,391.3","13,521.7","13,695.6","13,391.3","8.87M","-0.32%"
"08/29/2022","13,434.8","13,347.8","13,521.7","13,130.4","22.13M","-1.59%"
"08/26/2022","13,652.2","13,956.5","14,043.5","13,608.7","15.32M","-1.57%"
"08/25/2022","13,869.6","13,695.6","13,869.6","13,608.7","16.70M","1.92%"
"08/24/2022","13,608.7","13,652.2","13,782.6","13,608.7","15.04M","-0.32%"
"08/23/2022","13,652.2","13,434.8","13,695.6","13,391.3","11.58M","0.97%"
"08/22/2022","13,521.7","13,391.3","13,652.2","13,304.3","13.39M","0.65%"
"08/19/2022","13,434.8","13,478.3","13,608.7","13,391.3","11.76M","-0.32%"
"08/18/2022","13,478.3","13,478.3","13,695.6","13,434.8","15.84M","-0.64%"
"08/17/2022","13,565.2","13,739.1","13,869.6","13,565.2","14.62M","-1.27%"
"08/16/2022","13,739.1","13,913.0","14,130.4","13,695.6","14.50M","-0.63%"
"08/15/2022","13,826.1","13,000.0","13,826.1","12,956.5","53.19M","6.71%"
"08/12/2022","12,956.5","12,826.1","13,000.0","12,782.6","8.32M","0.68%"
"08/11/2022","12,869.6","13,173.9","13,217.4","12,826.1","15.88M","-1.33%"
"08/10/2022","13,043.5","13,173.9","13,217.4","13,043.5","9.92M","-1.32%"
"08/09/2022","13,217.4","13,260.9","13,304.3","13,087.0","16.26M","0.33%"
