date,close
2019-01-20,905.6424999999999
2019-01-27,908.6899999999999
2019-02-03,912.6539999999999
2019-02-10,912.6539999999999
2019-02-17,942.424
2019-02-24,974.542
2019-03-03,983.372
2019-03-10,992.042
2019-03-17,1000.778
2019-03-24,998.2479999999999
2019-03-31,975.902
2019-04-07,986.994
2019-04-14,987.36
2019-04-21,969.4449999999999
2019-04-28,972.9100000000001
2019-05-05,976.3199999999999
2019-05-12,953.262
2019-05-19,970.3380000000001
2019-05-26,981.9879999999999
2019-06-02,969.5799999999999
2019-06-09,951.106
2019-06-16,956.566
2019-06-23,951.8059999999999
2019-06-30,955.0319999999999
2019-07-07,967.2719999999999
2019-07-14,972.616
2019-07-21,979.1200000000001
2019-07-28,989.642
2019-08-04,992.8219999999999
2019-08-11,970.6540000000001
2019-08-18,974.086
2019-08-25,989.958
2019-09-01,979.9159999999999
2019-09-08,976.965
2019-09-15,975.396
2019-09-22,993.842
2019-09-29,989.9540000000001
2019-10-06,992.9200000000001
2019-10-13,987.6720000000001
2019-10-20,992.0200000000001
2019-10-27,989.742
2019-11-03,1001.53
2019-11-10,1023.64
2019-11-17,1014.0360000000001
2019-11-24,995.4979999999999
2019-12-01,974.49
2019-12-08,961.0939999999998
2019-12-15,964.4979999999999
2019-12-22,955.0600000000001
2019-12-29,960.266
2020-01-05,964.4575
2020-01-12,958.4680000000001
2020-01-19,970.734
2020-01-26,985.4866666666667
2020-02-02,948.1
2020-02-09,932.4860000000001
2020-02-16,935.7540000000001
2020-02-23,932.5360000000001
2020-03-01,897.9220000000001
2020-03-08,889.832
2020-03-15,803.074
2020-03-22,735.394
2020-03-29,681.264
2020-04-05,676.7049999999999
2020-04-12,749.946
2020-04-19,776.144
2020-04-26,776.26
2020-05-03,769.0300000000001
2020-05-10,783.8979999999999
2020-05-17,831.458
2020-05-24,850.262
2020-05-31,862.302
2020-06-07,880.952
2020-06-14,886.048
2020-06-21,853.374
2020-06-28,861.152
2020-07-05,837.5899999999999
2020-07-12,867.35
2020-07-19,871.118
2020-07-26,852.816
2020-08-02,797.778
2020-08-09,832.3040000000001
